school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences_x,G1_math,G2_math,G3_math,GT_math,G1_scale_math,G2_scale_math,G3_scale_math,GT_scale_math,G1_math_rank,G2_math_rank,G3_math_rank,GT_math_rank,G1_math_rank_bin,G2_math_rank_bin,G3_math_rank_bin,GT_math_rank_bin,absences_y,G1_port,G2_port,G3_port,GT_port,G1_scale_port,G2_scale_port,G3_scale_port,GT_scale_port,G1_port_rank,G2_port_rank,G3_port_rank,GT_port_rank,G1_port_rank_bin,G2_port_rank_bin,G3_port_rank_bin,GT_port_rank_bin
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,4,3,4,1,1,3,6,5,6,6,17,0.125,0.3157894736842105,0.30000000000000004,0.23090705487122062,387,353,335,353,9,8,7,8,4,0,11,11,22,0.0,0.5789473684210527,0.5789473684210527,0.3461538461538462,649,319,349,609,9,5,5,8
GP,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,1,1,3,4,5,5,6,16,0.125,0.2631578947368421,0.30000000000000004,0.212989921612542,387,367,335,358,9,8,7,8,2,9,11,11,31,0.47368421052631576,0.5789473684210527,0.5789473684210527,0.5192307692307692,493,319,349,422,6,5,5,6
GP,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,1,1,3,0,12,12,11,35,0.5625,0.631578947368421,0.55,0.5724524076147816,129,128,163,153,4,4,5,4,0,13,12,13,38,0.6842105263157894,0.631578947368421,0.6842105263157894,0.6538461538461537,153,233,195,214,4,4,4,4
GP,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,4,1,4,1,1,1,6,6,5,6,17,0.1875,0.2631578947368421,0.30000000000000004,0.23426651735722284,363,367,335,353,8,8,7,8,2,10,13,13,36,0.5263157894736842,0.6842105263157894,0.6842105263157894,0.6153846153846154,398,153,195,277,6,4,4,5
GP,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,4,10,12,12,34,0.4375,0.631578947368421,0.6000000000000001,0.5469204927211646,203,128,132,167,5,4,4,5,0,10,12,13,35,0.5263157894736842,0.631578947368421,0.6842105263157894,0.5961538461538463,398,233,195,306,6,4,4,5
GP,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,16,16,46,0.6875,0.8421052631578947,0.8,0.7717805151175811,66,21,25,35,3,2,2,2,0,14,14,15,43,0.7368421052631579,0.7368421052631579,0.7894736842105263,0.75,82,99,83,108,3,3,3,3
GP,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,4,14,14,14,42,0.6875,0.7368421052631579,0.7000000000000001,0.7019036954087347,66,68,74,75,3,3,3,3,6,17,17,17,51,0.894736842105263,0.894736842105263,0.894736842105263,0.903846153846154,9,16,18,20,1,1,1,1
GP,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10,28,0.3125,0.5263157894736842,0.5,0.4344904815229563,285,204,210,243,6,5,5,6,2,13,14,14,41,0.6842105263157894,0.7368421052631579,0.7368421052631579,0.7115384615384617,153,99,132,138,4,3,3,3
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,13,14,15,42,0.625,0.7368421052631579,0.75,0.6976483762597984,96,68,41,75,4,3,2,3,0,12,13,14,39,0.631578947368421,0.6842105263157894,0.7368421052631579,0.6730769230769231,225,153,132,181,4,4,3,4
GP,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,12,15,15,42,0.5625,0.7894736842105263,0.75,0.6942889137737962,129,34,41,75,4,2,2,3,0,11,12,12,35,0.5789473684210527,0.631578947368421,0.631578947368421,0.5961538461538463,307,233,277,306,5,4,5,5
GP,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16,46,0.75,0.7894736842105263,0.8,0.7751399776035834,42,34,25,35,2,2,2,2,0,12,13,14,39,0.631578947368421,0.6842105263157894,0.7368421052631579,0.6730769230769231,225,153,132,181,4,4,3,4
GP,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12,38,0.625,0.6842105263157894,0.6000000000000001,0.6286674132138858,96,91,132,115,4,4,4,4,2,10,10,10,30,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5,398,422,453,451,6,6,6,6
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,10,12,11,33,0.4375,0.631578947368421,0.55,0.5298992161254199,203,128,163,180,5,4,5,5,4,12,11,12,35,0.631578947368421,0.5789473684210527,0.631578947368421,0.5961538461538463,225,319,277,306,4,5,5,5
GP,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,9,11,12,32,0.375,0.5789473684210527,0.6000000000000001,0.5077267637178051,254,169,132,193,6,5,4,5,0,10,11,11,32,0.5263157894736842,0.5789473684210527,0.5789473684210527,0.5384615384615385,398,319,349,385,6,5,5,5
GP,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17,16,17,50,0.875,0.8421052631578947,0.8500000000000001,0.8526315789473684,12,21,19,19,1,2,2,2,2,15,15,15,45,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7884615384615385,47,61,83,73,2,2,3,3
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,17,16,16,49,0.875,0.8421052631578947,0.8,0.8356103023516236,12,21,25,23,1,2,2,2,0,13,14,15,42,0.6842105263157894,0.7368421052631579,0.7894736842105263,0.7307692307692308,153,99,83,123,4,3,3,3
GP,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,8,10,12,30,0.3125,0.5263157894736842,0.6000000000000001,0.4685330347144457,285,204,132,217,6,5,4,5,0,13,12,12,37,0.6842105263157894,0.631578947368421,0.631578947368421,0.6346153846153846,153,233,277,239,4,4,5,4
GP,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,0,8,7,6,21,0.3125,0.3684210526315789,0.30000000000000004,0.3126539753639418,285,332,335,328,6,7,7,7,4,11,11,11,33,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5576923076923077,307,319,349,354,5,5,5,5
GP,M,15,U,LE3,T,4,3,teacher,services,home,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,2,15,16,18,49,0.75,0.8421052631578947,0.9,0.8270996640537513,42,21,7,23,2,2,1,2,0,14,14,14,42,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7307692307692308,82,99,132,123,3,3,3,3
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,7,15,16,15,46,0.75,0.8421052631578947,0.75,0.7760358342665173,42,21,41,35,2,2,2,2,4,13,13,13,39,0.6842105263157894,0.6842105263157894,0.6842105263157894,0.6730769230769231,153,153,195,181,4,4,4,4
GP,M,15,U,LE3,T,4,4,teacher,other,home,other,1,1,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,12,12,12,36,0.5625,0.631578947368421,0.6000000000000001,0.5894736842105263,129,128,132,144,4,4,4,4,8,10,11,11,32,0.5263157894736842,0.5789473684210527,0.5789473684210527,0.5384615384615385,398,319,349,385,6,5,5,5
GP,M,15,U,GT3,T,4,4,services,teacher,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,2,19,18,18,55,1.0,0.9473684210526315,0.9,0.9480403135498319,1,4,7,5,1,1,1,1,0,14,15,15,44,0.7368421052631579,0.7894736842105263,0.7894736842105263,0.7692307692307694,82,61,83,87,3,2,3,3
GP,M,15,U,GT3,T,2,2,services,services,course,father,1,1,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,8,8,11,27,0.3125,0.42105263157894735,0.55,0.4156774916013438,285,300,163,264,6,6,5,6,0,9,10,10,29,0.47368421052631576,0.5263157894736842,0.5263157894736842,0.4807692307692308,493,422,453,493,6,6,6,6
GP,F,16,U,LE3,T,2,2,other,at_home,course,father,2,2,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,10,9,29,0.4375,0.5263157894736842,0.45,0.4600223964165734,203,204,266,232,5,5,6,5,14,10,11,11,32,0.5263157894736842,0.5789473684210527,0.5789473684210527,0.5384615384615385,398,319,349,385,6,5,5,5
GP,F,15,U,LE3,A,4,3,other,other,course,mother,1,2,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,8,8,8,6,22,0.3125,0.42105263157894735,0.30000000000000004,0.3305711086226204,285,300,335,322,6,6,7,7,4,10,11,11,32,0.5263157894736842,0.5789473684210527,0.5789473684210527,0.5384615384615385,398,319,349,385,6,5,5,5
GP,F,16,U,LE3,A,3,3,other,services,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,12,11,12,11,34,0.5,0.631578947368421,0.55,0.5511758118701008,164,128,163,167,5,4,5,5,6,13,12,13,38,0.6842105263157894,0.631578947368421,0.6842105263157894,0.6538461538461537,153,233,195,214,4,4,4,4
GP,M,16,U,GT3,T,4,3,health,services,reputation,mother,1,4,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20,58,1.0,1.0,1.0,0.9999999999999999,1,1,1,1,1,1,1,1,2,17,17,17,51,0.894736842105263,0.894736842105263,0.894736842105263,0.903846153846154,9,16,18,20,1,1,1,1
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,4,14,15,15,44,0.6875,0.7894736842105263,0.75,0.736842105263158,66,34,41,57,3,2,2,3,8,15,15,16,46,0.7894736842105263,0.7894736842105263,0.8421052631578947,0.8076923076923077,47,61,47,60,2,2,2,2
GP,M,15,U,LE3,T,1,2,other,at_home,home,father,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,9,10,9,28,0.375,0.5263157894736842,0.45,0.4387458006718925,254,204,266,243,6,5,6,6,0,14,13,14,41,0.7368421052631579,0.6842105263157894,0.7368421052631579,0.7115384615384617,82,153,132,138,3,4,3,3
GP,F,16,R,GT3,T,4,4,health,teacher,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,6,10,11,11,32,0.4375,0.5789473684210527,0.55,0.5119820828667413,203,169,163,193,5,5,5,5,0,17,16,16,49,0.894736842105263,0.8421052631578947,0.8421052631578947,0.8653846153846154,9,36,47,29,1,2,2,2
GP,F,16,U,GT3,T,1,1,services,services,course,father,4,1,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,6,10,8,11,29,0.4375,0.42105263157894735,0.55,0.4582306830907055,203,300,163,232,5,6,5,5,0,10,10,16,36,0.5263157894736842,0.5263157894736842,0.8421052631578947,0.6153846153846154,398,422,47,277,6,6,2,5
GP,F,16,U,LE3,T,1,2,other,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,4,8,10,9,27,0.3125,0.5263157894736842,0.45,0.4174692049272117,285,204,266,264,6,5,6,6,0,13,13,10,36,0.6842105263157894,0.6842105263157894,0.5263157894736842,0.6153846153846154,153,153,453,277,4,4,6,5
GP,F,15,U,LE3,T,4,3,services,services,reputation,father,1,2,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,10,10,10,30,0.4375,0.5263157894736842,0.5,0.477043673012318,203,204,210,217,5,5,5,5,0,13,12,12,37,0.6842105263157894,0.631578947368421,0.631578947368421,0.6346153846153846,153,233,277,239,4,4,5,4
GP,F,16,U,LE3,T,4,3,teacher,services,course,mother,3,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,15,46,0.8125,0.7894736842105263,0.75,0.7793952967525196,20,34,41,35,2,2,2,2,2,16,15,16,47,0.8421052631578947,0.7894736842105263,0.8421052631578947,0.8269230769230771,25,61,47,48,1,2,2,2
GP,M,15,U,GT3,A,4,4,other,services,reputation,mother,1,4,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,4,13,13,12,38,0.625,0.6842105263157894,0.6000000000000001,0.6286674132138858,96,91,132,115,4,4,4,4,0,11,12,12,35,0.5789473684210527,0.631578947368421,0.631578947368421,0.5961538461538463,307,233,277,306,5,4,5,5
GP,F,15,R,LE3,T,3,1,other,other,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,12,16,16,16,48,0.8125,0.8421052631578947,0.8,0.8143337066069427,20,21,25,26,2,2,2,2,6,15,15,15,45,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7884615384615385,47,61,83,73,2,2,3,3
GP,M,15,U,GT3,T,4,2,other,other,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,10,10,10,30,0.4375,0.5263157894736842,0.5,0.477043673012318,203,204,210,217,5,5,5,5,0,11,9,10,30,0.5789473684210527,0.47368421052631576,0.5263157894736842,0.5,307,505,453,451,5,7,6,6
GP,M,16,U,GT3,T,3,1,other,other,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,2,12,12,14,38,0.5625,0.631578947368421,0.7000000000000001,0.6235162374020156,129,128,74,115,4,4,3,4,0,13,13,14,40,0.6842105263157894,0.6842105263157894,0.7368421052631579,0.6923076923076923,153,153,132,160,4,4,3,4
GP,M,15,U,GT3,T,4,0,teacher,other,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,8,11,11,10,32,0.5,0.5789473684210527,0.5,0.5162374020156775,164,169,210,193,5,5,5,5,0,12,11,11,34,0.631578947368421,0.5789473684210527,0.5789473684210527,0.5769230769230771,225,319,349,329,4,5,5,5
GP,M,17,U,GT3,T,2,1,other,other,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,2,8,8,10,26,0.3125,0.42105263157894735,0.5,0.3986562150055991,285,300,210,287,6,6,5,6,0,9,9,10,28,0.47368421052631576,0.47368421052631576,0.5263157894736842,0.4615384615384615,493,505,453,519,6,7,6,7
GP,F,16,U,GT3,T,3,4,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,12,5,5,5,15,0.125,0.2631578947368421,0.25,0.19596864501679728,387,367,350,366,9,8,7,8,14,12,11,11,34,0.631578947368421,0.5789473684210527,0.5789473684210527,0.5769230769230771,225,319,349,329,4,5,5,5
GP,M,15,U,LE3,T,2,2,services,services,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,4,15,15,15,45,0.75,0.7894736842105263,0.75,0.7581187010078387,42,34,41,48,2,2,2,3,2,13,12,13,38,0.6842105263157894,0.631578947368421,0.6842105263157894,0.6538461538461537,153,233,195,214,4,4,4,4
GP,F,15,U,GT3,T,1,1,other,other,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,9,10,10,29,0.375,0.5263157894736842,0.5,0.45576707726763716,254,204,210,232,6,5,5,5,2,13,12,12,37,0.6842105263157894,0.631578947368421,0.631578947368421,0.6346153846153846,153,233,277,239,4,4,5,4
GP,F,16,U,LE3,T,2,2,at_home,other,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,4,8,7,6,21,0.3125,0.3684210526315789,0.30000000000000004,0.3126539753639418,285,332,335,328,6,7,7,7,6,13,11,11,35,0.6842105263157894,0.5789473684210527,0.5789473684210527,0.5961538461538463,153,319,349,306,4,5,5,5
GP,F,15,U,GT3,T,4,2,other,other,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,13,14,14,41,0.625,0.7368421052631579,0.7000000000000001,0.6806270996640538,96,68,74,82,4,3,3,3,4,15,15,15,45,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7884615384615385,47,61,83,73,2,2,3,3
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,18,8,6,7,21,0.3125,0.3157894736842105,0.35000000000000003,0.31175811870100784,285,353,326,328,6,8,7,7,6,9,9,10,28,0.47368421052631576,0.47368421052631576,0.5263157894736842,0.4615384615384615,493,505,453,519,6,7,6,7
GP,F,16,U,LE3,T,3,1,other,other,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,4,7,6,6,19,0.25,0.3157894736842105,0.30000000000000004,0.27346024636058236,326,353,335,341,7,8,7,7,0,12,13,12,37,0.631578947368421,0.6842105263157894,0.631578947368421,0.6346153846153846,225,153,277,239,4,4,5,4
GP,M,15,U,LE3,T,2,2,services,health,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,6,11,13,14,38,0.5,0.6842105263157894,0.7000000000000001,0.6201567749160134,164,91,74,115,5,4,3,4,2,11,12,12,35,0.5789473684210527,0.631578947368421,0.631578947368421,0.5961538461538463,307,233,277,306,5,4,5,5
GP,F,16,U,GT3,T,4,4,other,other,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,6,11,14,14,39,0.5,0.7368421052631579,0.7000000000000001,0.6380739081746921,164,68,74,104,5,3,3,4,4,12,13,13,38,0.631578947368421,0.6842105263157894,0.6842105263157894,0.6538461538461537,225,153,195,214,4,4,4,4
GP,M,16,U,GT3,T,4,4,services,teacher,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,17,17,50,0.8125,0.894736842105263,0.8500000000000001,0.8492721164613662,20,16,19,19,2,2,2,2,0,16,16,16,48,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8461538461538463,25,36,47,36,1,2,2,2
GP,F,15,U,GT3,A,3,3,other,health,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,11,11,32,0.4375,0.5789473684210527,0.55,0.5119820828667413,203,169,163,193,5,5,5,5,10,10,10,10,30,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.5,398,422,453,451,6,6,6,6
